Name ,Province,Address
Phòng khám Đa khoa Pasteur	,Đà Nẵng,"Số 56 Hoàng Văn Thụ, phường Phước Ninh, quận Hải Châu, TP. Đà Nẵng"
Khoa Da liễu – Bệnh viện Đà Nẵng        ,Đà Nẵng,"124 Hải Phòng, phường Thạch Thang, quận Hải Châu, TP. Đà Nẵng"
Khoa Da liễu – Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng       ,Đà Nẵng,"Đường 30/4, phường Hòa Cường Bắc, quận Hải Châu, TP. Đà Nẵng"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Quảng Nam        ,Quảng Nam,"Đường Phan Bội Châu, phường Tân Thạnh, TP. Tam Kỳ, Quảng Nam"
Bệnh viện Đa khoa khu vực Quảng Nam        ,Quảng Nam,"Thị trấn Nam Phước, huyện Duy Xuyên, Quảng Nam"
Trung tâm Y tế TP. Tam Kỳ        ,Quảng Nam,"Đường Hùng Vương, phường An Xuân, TP. Tam Kỳ, Quảng Nam"
Phòng khám Đa khoa Thái Bình Dương        ,Quảng Nam,"Số 6 Phan Đình Phùng, phường Cẩm Sơn, TP. Hội An, Quảng Nam"
Phòng khám Đa khoa Hội An Medical Services        ,Quảng Nam,"503 Hai Bà Trưng, phường Cẩm Phô, TP. Hội An, Quảng Nam"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Quảng Ngãi        ,Quảng Ngãi,"Đường Lê Hữu Trác, phường Nghĩa Lộ, TP. Quảng Ngãi, Quảng Ngãi"
Trung tâm Phong – Da liễu tỉnh Quảng Ngãi        ,Quảng Ngãi,"Đường Lê Hữu Trác, phường Nghĩa Lộ, TP. Quảng Ngãi, Quảng Ngãi"
Phòng khám Da liễu – BS. Nguyễn Văn Minh       ,Quảng Ngãi,"60 Bùi Thị Xuân, TP. Quảng Ngãi, Quảng Ngãi"
Phòng khám Da liễu – BS. Phạm Thị Tiết        ,Quảng Ngãi,"173 Bùi Thị Xuân, TP. Quảng Ngãi, Quảng Ngãi"
Phòng khám Da liễu – BS. Mai Văn Bắc        ,Quảng Ngãi,"65 Ngô Quyền, TP. Quảng Ngãi, Quảng Ngãi"
Bệnh viện Phong – Da liễu Trung ương Quy Hòa       ,Bình Định,"05A Chế Lan Viên, Phường Ghềnh Ráng, TP. Quy Nhơn, Bình Định"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Bình Định        ,Bình Định,"106 Nguyễn Huệ, TP. Quy Nhơn, Bình Định"
Phòng khám Da liễu – BS. Ân Nhụy       ,Bình Định," 04 Nguyễn Viết Xuân, TP. Quy Nhơn, Bình Định"
Phòng khám Da liễu – BS. Hoa Tấn Dũng       ,Bình Định,"Võ Liệu, Phường Ghềnh Ráng, TP. Quy Nhơn, Bình Định"
Phòng khám Da liễu – BS. Nguyễn Thị Thời Loan	,Bình Định,"18/3 Trần Văn Ơn, Phường Ghềnh Ráng, TP. Quy Nhơn, Bình Định"
Bệnh viện Da liễu Phú Yên        ,Phú Yên ,"02 Trần Phú, Phường 8, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Lê Văn Thuận        ,Phú Yên ,"20 Mai Xuân Thưởng, Phường 5, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Trương Công Dân        ,Phú Yên ,"21/7 Nguyễn Tất Thành, Phường 2, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Trần Minh Hảo       ,Phú Yên ,"82B Duy Tân, Phường 5, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Ngô Thị Mỹ Lệ       ,Phú Yên ,"21 Nguyễn Du, Phường 7, TP. Tuy Hòa, Phú Yên"
Phòng Khám Da liễu Bs Hải Lý,Khánh Hòa,"415 Đường 2/4, TP. Nha Trang"
Phòng Khám Da Liễu Dr. Acneskin,Khánh Hòa,"47 Bùi Phùng, TP. Nha Trang"
Phòng Khám Da Liễu Thẩm Mỹ Belaskin,Khánh Hòa,"27 Thủy Xưởng, TP. Nha Trang"
Bệnh viện Đa khoa tỉnh Khánh Hòa        ,Khánh Hòa,"37 Phan Bội Châu, TP. Nha Trang19 Yersin, phường Lộc Thọ, TP. Nha Trang, Khánh Hòa"
Khoa Da liễu – Bệnh viện Đa khoa Quốc tế Vinmec Nha Trang       ,Khánh Hoà,"42A Trần Phú, phường Vĩnh Nguyên, TP. Nha Trang, Khánh Hòa"
Bệnh viện Chuyên khoa Da liễu – Tâm thần tỉnh Ninh Thuận        ,Ninh Thuận,"30 Phạm Ngũ Lão, Phường Phước Mỹ, TP. Phan Rang – Tháp Chàm, Ninh Thuận"
Phòng khám Da liễu – BS. Nguyễn Thành An        ,Ninh Thuận,"130 Trần Phú, Phường Phủ Hà, TP. Phan Rang – Tháp Chàm, Ninh Thuận"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Ninh Thuận        ,Ninh Thuận,"Đường Nguyễn Văn Cừ, Phường Văn Hải, TP. Phan Rang – Tháp Chàm, Ninh Thuận"
Phòng khám Da liễu – BS. Trần Thị Huệ        ,Ninh Thuận,"78A Nguyễn Văn Cừ, Phường Đài Sơn, TP. Phan Rang – Tháp Chàm, Ninh Thuận"
Phòng khám Da liễu – BS. Lê Thị Thanh Thúy        ,Ninh Thuận,"167 Đường 21 Tháng 8, Phường Phước Mỹ, TP. Phan Rang – Tháp Chàm, Ninh Thuận"
Bệnh viện Da liễu tỉnh Bình Thuận        ,Bình Thuận ,"133 Hải Thượng Lãn Ông, Phường Phú Trinh, TP. Phan Thiết, Bình Thuận"
Phòng khám Da liễu – BS. CKII Lê Huỳnh Phúc        ,Bình Thuận ,"323 Trần Hưng Đạo, Phường Bình Hưng, TP. Phan Thiết, Bình Thuận"
Phòng khám Da liễu – BS. Nguyễn Thành Thảo        ,Bình Thuận ,"11 Nguyễn Trãi, Phường Bình Hưng, TP. Phan Thiết, Bình Thuận"
Phòng khám Da liễu – BS. Nguyễn Hoàng Quốc Bảo        ,Bình Thuận ,"Phường Phú Trinh, TP. Phan Thiết, Bình Thuận"
Phòng khám Da liễu – BS. Nguyễn Thanh Tùng ,Bình Thuận ,"278 Trần Hưng Đạo, Phường Bình Hưng, TP. Phan Thiết, Bình Thuận"
Bệnh viện Đa khoa tỉnh Kon Tum        ,Kon Tum,"224 Bà Triệu, Phường Quang Trung, TP. Kon Tum, Kon Tum"
Phòng khám Da liễu – BS. Hồ Bộ        ,Kon Tum,"148 Trần Phú, Phường Thắng Lợi, TP. Kon Tum, Kon Tum"
Phòng khám Da liễu – BS. Hồ Bộ        ,Kon Tum,"93 Trần Phú, Phường Trường Chinh, TP. Kon Tum, Kon Tum"
Phòng khám Nội khoa và Da liễu – BS. Trực        ,Kon Tum,"310 U Rê, Phường Quang Trung, TP. Kon Tum, Kon Tum"
Phòng khám Da liễu – BS. Trần Thị Kinh        ,Kon Tum,"160 Hai Bà Trưng, Phường Quyết Thắng, TP. Kon Tum, Kon Tum"
Bệnh viện Đa khoa tỉnh Gia Lai        ,Gia Lai,"132 Tôn Thất Thuyết, phường Phù Đổng, TP. Pleiku, Gia Lai"
Bệnh viện Hoàng Anh Gia Lai        ,Gia Lai,"238 Lê Duẩn, phường Trà Bá, TP. Pleiku, Gia Lai"
Bệnh viện Hùng Vương Gia Lai        ,Gia Lai,"18 Trần Hưng Đạo, Phường Tây Sơn, TP. Pleiku, Gia Lai"
Phòng khám Da liễu – ThS.BS. Bùi Ngọc Dũng        ,Gia Lai,"05 Lê Duẩn, Phường Phù Đổng, TP. Pleiku, Gia Lai"
Phòng khám Da liễu – BS. Võ Gia Hưng        ,Gia Lai,"55 Nguyễn Du, Phường Tây Sơn, TP. Pleiku, Gia Lai"
Trung tâm Da liễu tỉnh Đắk Lắk,Đắk Lắk,"235 Xô Viết Nghệ Tĩnh, P. Thành Công, TP. Buôn Ma Thuột"
Bệnh viện Đa khoa vùng Tây Nguyên - Khoa Da liễu,Đắk Lắk,"02 Mai Hắc Đế, TP. Buôn Ma Thuột"
Phòng khám chuyên khoa da liễu - Bác sĩ Trần Thị Lợi,Đắk Lắk,"46 Trần Bình Trọng, Tân tiến, Buôn Ma Thuột, Đắk Lắk"
Phòng khám da liễu - Bác sĩ Dung,Đắk Lắk,TP. Buôn Ma Thuột
Phòng khám da liễu NU - Spa & Clinic,Đắk Lắk,"10 Y Ơn, Tân Thành, Buôn Ma Thuột, Đắk Lắk"
Bệnh viện Đa khoa tỉnh Đắk Nông        ,Đắk Nông ,"82 Bà Triệu, Phường Nghĩa Trung, TP. Gia Nghĩa, Đắk Nông"
Phòng khám Da liễu – BS. Đỗ Hương        ,Đắk Nông ,"9 Vành Đai Hồ Tây, Xã Đức Minh, Huyện Đắk Mil, Đắk Nông"
Phòng khám Da liễu – Trần Hưng Đạo       ,Đắk Nông ," Đường Trần Hưng Đạo, Huyện Đắk Mil, Đắk Nông"
Phòng khám Da liễu – BS. Kiên & BS. Thúy        ,Đắk Nông ,"89 Hùng Vương, Phường Nghĩa Trung, TP. Gia Nghĩa, Đắk Nông"
Trung tâm Y tế TP. Gia Nghĩa	,Đắk Nông ,"Đường Trần Hưng Đạo, phường Nghĩa Đức, TP. Gia Nghĩa, Đắk Nông"
Bệnh viện Đa khoa tỉnh Lâm Đồng        ,Lâm Đồng,"Đường Phạm Ngọc Thạch, Phường 6, TP. Đà Lạt, Lâm Đồng"
Phòng khám Da liễu – BS. CKII Nguyễn Đình Thắng        ,Lâm Đồng,"262 Phan Đình Phùng, Phường 2, TP. Đà Lạt, Lâm Đồng"
Bệnh viện Đa khoa Hoàn Mỹ Đà Lạt        ,Lâm Đồng,"Đồi Mimosa, Phường 10, TP. Đà Lạt, Lâm Đồng"
Phòng khám Da liễu – BS. CKI Bùi Thị Hảo        ,Lâm Đồng,"3/1 Ngô Quyền, Phường 6, TP. Đà Lạt, Lâm Đồng"
Phòng khám Da liễu – BS. Phạm Văn Đức	,Lâm Đồng,"159 Phan Đình Phùng, Phường 2, TP. Đà Lạt, Lâm Đồng"
Bệnh viện Đa khoa tỉnh Bình Phước	,Bình Phước,"Đường Lê Duẩn, phường Tân Phú, TP. Đồng Xoài, Bình Phước"
Bệnh viện Hoàn Mỹ Bình Phước        ,Bình Phước,"Ấp 3, Xã Tiến Hưng, TP. Đồng Xoài, Bình Phước"
Phòng khám Da liễu – BS. Khảm        ,Bình Phước,"151 Quốc lộ 14, Phường Tân Thiện, TP. Đồng Xoài, Bình Phước"
Phòng khám Da liễu – BS. Lê Thị Hơn        ,Bình Phước,"ĐT741, Xã Phú Riềng, Huyện Phước Long, Bình Phước"
Phòng khám Da liễu – BS. Phụng        ,Bình Phước,"Quốc lộ 14, Phường Tiến Thành, TP. Đồng Xoài, Bình Phước"
Bệnh viện Đa khoa tỉnh Tây Ninh	,Tây Ninh ,"288 Đường 30/4, Khu phố 1, Phường 3, TP. Tây Ninh, Tây Ninh"
Bệnh viện Đa khoa Lê Ngọc Tùng        ,Tây Ninh ,"500 Cách Mạng Tháng Tám, Phường 3, TP. Tây Ninh, Tây Ninh"
Bệnh viện Đa khoa Hồng Hưng        ,Tây Ninh ,"187 Phạm Văn Đồng, Thị xã Hòa Thành, Tây Ninh"
Phòng khám Da liễu – BS. Trần Thị Thu Thủy       ,Tây Ninh ,"27 Lê Lợi, Phường 3, TP. Tây Ninh, Tây Ninh"
Phòng khám Da liễu – BS. Lâm Minh Khương        ,Tây Ninh ,"697 Ninh Thọ, Phường Ninh Sơn, TP. Tây Ninh, Tây Ninh"
Bệnh viện Đa khoa tỉnh Bình Dương        ,Bình Dương,"Số 5 Phạm Ngọc Thạch, phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương"
Hạnh Phúc International Hospital        ,Bình Dương,"Đại - Bình Dương Boulevard, phường Vĩnh Tân, TP. Dĩ An, Bình Dương"
Columbia Asia Hospital – Bình Dương       ,Bình Dương," Đường 22/12, phường Thuận Giao, TP. Thuận An, Bình Dương"
Trung tâm Y tế TP. Thủ Dầu Một        ,Bình Dương,"Đường Lê Hồng Phong, phường Phú Hòa, TP. Thủ Dầu Một, Bình Dương"
Phòng khám Đa khoa Tâm An        ,Bình Dương,"Số 123 đường Nguyễn Văn Tiết, phường Lái Thiêu, TP. Thuận An, Bình Dương"
Bệnh viện Đa khoa Đồng Nai       ,Đồng Nai,"Số 2 Đồng Khởi, phường Tam Hòa, TP. Biên Hòa, Đồng Nai"
Khoa Da liễu – Bệnh viện Quốc tế Hoàn Mỹ Đồng Nai ,Đồng Nai,"1048A Đường Phạm Văn Thuận, phường Tân Mai, TP. Biên Hòa, Đồng Nai"
Bệnh viện Da liễu Đồng Nai	,Đồng Nai,"Khu phố 3, Phường Trảng Dài, TP. Biên Hòa, Đồng Nai"
Phòng khám Da liễu – BS. CKI Nguyễn Thị Thu Thủy       ,Đồng Nai,"90 Võ Thị Sáu, KP1, P. Quyết Thắng, TP. Biên Hòa, Đồng Nai"
Phòng khám Da liễu – BS. Hồ Thị Minh Phương        ,Đồng Nai,"99 Hưng Đạo Vương, KP1, P. Quyết Thắng, TP. Biên Hòa, Đồng Nai"
Bệnh viện Bà Rịa,Bà Rịa - Vũng Tàu,"686 Võ Văn Kiệt, P. Long Tâm, TP. Bà Rịa"
Bệnh viện Lê Lợi,Bà Rịa - Vũng Tàu,"121 Lê Lợi, Phường 4, TP. Vũng Tàu"
Phòng khám Da liễu – BS. Trần Thị Lệ Thanh        ,Bà Rịa - Vũng Tàu,"Số 3 Phan Đăng Lưu, Phường 3, TP. Vũng Tàu, Bà Rịa – Vũng Tàu"
Phòng khám Da liễu – BS. Vũ Thị Đỉnh        ,Bà Rịa - Vũng Tàu,"422/2A Lê Hồng Phong, Phường Thắng Tam, TP. Vũng Tàu, Bà Rịa – Vũng Tàu"
Phòng khám Da liễu – BS. Trương Sỹ Chiến        ,Bà Rịa - Vũng Tàu,"157 Trương Công Định, Phường 3, TP. Vũng Tàu, Bà Rịa – Vũng Tàu"
Bệnh viện Da liễu TP. Hồ Chí Minh,TP. Hồ Chí Minh,"2 Nguyễn Thông, Phường 6, Quận 3, TP. Hồ Chí Minh"
Khoa Da liễu – Bệnh viện Chợ Rẫy        ,TP. Hồ Chí Minh,"201B Nguyễn Chí Thanh, Phường 12, Quận 5, TP. Hồ Chí Minh"
Phòng khám Đa khoa Quốc tế Exson        ,TP. Hồ Chí Minh,"722 Sư Vạn Hạnh, Phường 12, Quận 10, TP. Hồ Chí Minh"
Khoa Da liễu – Bệnh viện Đại học Y Dược TP. Hồ Chí Minh        ,TP. Hồ Chí Minh,"215 Hồng Bàng, Phường 11, Quận 5, TP. Hồ Chí Minh"
Phòng khám Da liễu BS. Nguyễn Thị Minh Phượng        ,TP. Hồ Chí Minh,"Số 123 Lê Lợi, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh"
Bệnh viện Đa khoa tỉnh Long An        ,Long An,"211 Nguyễn Thông, Phường 3, TP. Tân An, Long An"
Phòng khám Da liễu – BS. Nguyễn Thị Đường        ,Long An,"251 Hùng Vương, Phường 3, TP. Tân An, Long An"
Bệnh viện Đa khoa Vạn An        ,Long An,"1A Nguyễn Văn Rành, Phường 4, TP. Tân An, Long An"
Phòng khám Da liễu Hiền        ,Long An,"45 Nguyễn Thông, Phường 3, TP. Tân An, Long An"
Phòng khám Da liễu – BS. Võ Hồng Phúc        ,Long An,"18 Sương Nguyệt Anh, Khu phố 1, Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An"
Bệnh viện Đa khoa tỉnh Tiền Giang	,Tiền Giang,"Số 01 Đường Hùng Vương, Phường 1, TP. Mỹ Tho, Tiền Giang"
Bệnh viện Da liễu Tiền Giang        ,Tiền Giang,"59H Lê Văn Phẩm, Phường 6, TP. Mỹ Tho, Tiền Giang"
Phòng khám Da liễu – BS. CKI Nhan Thị Phương Đào        ,Tiền Giang,"Số 9 Nguyễn Huệ, Phường 1, TP. Mỹ Tho, Tiền Giang"
Phòng khám Da liễu – BS. Trương Văn Út        ,Tiền Giang,"Số 81A Phan Hiến Đạo, Phường 7, TP. Mỹ Tho, Tiền Giang"
Phòng khám Da liễu – BS. Nguyễn Văn Chính        ,Tiền Giang,"Quốc lộ 1A, Ấp Mỹ Cần, Xã Nhị Mỹ, Huyện Cai Lậy, Tiền Giang"
Phòng khám Đa khoa Nhân Thiện - BS. Trần Văn Quang,Bến Tre,"39/2 Đoàn Hoàng Minh, Phường 5, Bến Tre"
Phòng khám Đa khoa Phạm Duy Thanh - BS. Phạm Duy Thanh,Bến Tre,"95D3 Đoàn Hoàng Minh, Phường 6, Bến Tre"
Phòng khám Da liễu - BS. Nguyễn Thị Thu Lệ,Bến Tre,"Thị trấn Bình Đại, Huyện Bình Đại, Bến Tre"
Bệnh viện Đa khoa Nguyễn Đình Chiểu        ,Bến Tre,"88A Nguyễn Đình Chiểu, Phường 2, TP. Bến Tre, Bến Tre"
Bệnh viện Đa khoa Minh Đức        ,Bến Tre,"Phường 6, TP. Bến Tre, Bến Tre"
Khoa Da liễu – Bệnh viện Đa khoa Trà Vinh        ,Trà Vinh,"Số 7, Nguyễn Thị Minh Khai, Phường 7, TP. Trà Vinh, Trà Vinh"
Phòng khám Da liễu – BS. Việt Trung        ,Trà Vinh,"410 Điện Biên Phủ, Khóm 3, Phường 6, TP. Trà Vinh, Trà Vinh"
Bệnh viện Đa khoa Minh Tâm        ,Trà Vinh,"36 Nguyễn Đáng, Phường 9, TP. Trà Vinh, Trà Vinh"
Phòng khám Da liễu – BS. Lương Thị Thúy Nga        ,Trà Vinh,"Phường 1, TP. Trà Vinh, Trà Vinh"
Phòng khám Da liễu – BS. Lê Hoàng Dũng        ,Trà Vinh,"350 Phan Đình Phùng, Phường 6, TP. Trà Vinh, Trà Vinh"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Vĩnh Long        ,Vĩnh Long,"Số 3, Đường 30/4, Phường 1, TP. Vĩnh Long, Vĩnh Long"
Phòng khám Da liễu – BS. Nguyễn Thị Huyền Trang        ,Vĩnh Long,"34/13 Trần Phú, Phường 4, TP. Vĩnh Long, Vĩnh Long"
Phòng khám Da liễu – BS. Nguyễn Quốc Phục        ,Vĩnh Long,"4/14 Mậu Thân, Phường 3, TP. Vĩnh Long, Vĩnh Long"
Phòng khám Da liễu – BS. Lê Thị Điệp        ,Vĩnh Long,"7 Trần Phú, Phường 1, TP. Vĩnh Long, Vĩnh Long"
Phòng khám Da liễu – BS. Huỳnh Văn Chiến        ,Vĩnh Long,"46A Trần Đại Nghĩa, Phường 4, TP. Vĩnh Long, Vĩnh Long"
Bệnh viện Da liễu Đồng Tháp        ,Đồng Tháp,"396 Lê Đại Hành, Phường Mỹ Phú, TP. Cao Lãnh, Đồng Tháp"
Phòng khám Da liễu – BS. CKII Đoàn Quốc Tuấn        ,Đồng Tháp,"113 Hùng Vương, Phường 2, TP. Cao Lãnh, Đồng Tháp"
Phòng khám Da liễu – BS. Phan Viết Dũng        ,Đồng Tháp,"TP. Sa Đéc, Đồng Tháp"
Phòng khám Da liễu – BS. CKII Võ Đông Xuân        ,Đồng Tháp,"01 Trương Định, Phường 1, TP. Cao Lãnh, Đồng Tháp"
Phòng khám Da liễu – BS. Hiệp        ,Đồng Tháp,"TP. Cao Lãnh, Đồng Tháp"
Phòng Mạch Da Liễu - BS. Huỳnh Thị Phương Uyên,An Giang,"435/4 Hà Hoàng Hổ, Phường Mỹ Xuyên, TP. Long Xuyên"
Phòng Mạch Da Liễu - BS. Huỳnh Thị Ngọc Bích,An Giang,"Nguyễn Thái Học, P. Mỹ Bình, Thành phố Long Xuyên, An Giang"
Phòng mạch Da liễu Phan Hoàng Đạo,An Giang,"812A Hà Hoàng Hổ, P. Đông Xuyên, TP. Long Xuyên"
Khoa Da liễu – Bệnh viện Đa khoa Trung tâm An Giang        ,An Giang,"60 Ung Văn Khiêm, Phường Mỹ Phước, TP. Long Xuyên, An Giang"
Khoa Da liễu – Bệnh viện Đa khoa Hạnh Phúc An Giang       ,An Giang,"234 Trần Hưng Đạo, Phường Mỹ Thới, TP. Long Xuyên, An Giang"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Kiên Giang        ,Kiên Giang,"46 Lê Lợi, Phường Vĩnh Thanh Vân, TP. Rạch Giá, Kiên Giang"
Phòng khám Da liễu – BS. Danh Đông        ,Kiên Giang,"154A Mai Thị Hồng Hạnh, Rạch Sỏi, TP. Rạch Giá, Kiên Giang"
Bệnh viện Đa khoa Quốc tế Vinmec Phú Quốc        ,Kiên Giang,"Khu Bãi Dài, Xã Gành Dầu, Phú Quốc, Kiên Giang"
Phòng khám Da liễu – BS. Phạm Minh Viễn        ,Kiên Giang,"52 Thành Thái, Phường Thanh Vân, TP. Rạch Giá, Kiên Giang"
Phòng khám Da liễu – BS. Yên Ba        ,Kiên Giang,"28 Nguyễn Thái Học, Phường Vĩnh Bảo, TP. Rạch Giá, Kiên Giang"
Bệnh viện Da Liễu Thành phố Cần Thơ               ,Cần Thơ,"12/1 Đường 3/2, Phường Hưng Lợi, Quận Ninh Kiều, TP. Cần Thơ"
Phòng khám Da Liễu FOB                ,Cần Thơ,"14/14 Lý Tự Trọng, Quận Ninh Kiều, TP. Cần Thơ"
Phòng khám Da Liễu O2 SKIN                        ,Cần Thơ,"MG1-12 Vincom Shophouse Xuân Khánh, 209 Đường 30 Tháng 4, Quận Ninh Kiều, TP. Cần Thơ"
Phòng khám Da Liễu – BS. Nguyễn Việt Hùng	,Cần Thơ,"24/82 Trần Việt Châu, Phường An Hòa, Quận Ninh Kiều, TP. Cần Thơ"
Khoa Da liễu – Bệnh viện Đa khoa Trung ương Cần Thơ	,Cần Thơ,"315 Nguyễn Văn Cừ, Phường An Bình, Quận Ninh Kiều, TP. Cần Thơ"
Bệnh viện Đa khoa tỉnh Hậu Giang,Hậu Giang,"647 Trần Hưng Đạo, Khu vực 4, Phường 3, TP. Vị Thanh, Hậu Giang"
Trung tâm Y tế TP. Vị Thanh        ,Hậu Giang,"Đường Lê Hồng Phong, Phường 4, TP. Vị Thanh, Hậu Giang"
Bệnh viện Chuyên khoa Tâm thần và Da liễu tỉnh Hậu Giang        ,Hậu Giang,"Đường 30/4, Phường 5, TP. Vị Thanh, Hậu Giang"
Phòng khám Đa khoa Tâm An        ,Hậu Giang,"Số 123 Đường 1/5, Phường 7, TP. Vị Thanh, Hậu Giang"
Phòng khám Đa khoa Hùng Vương        ,Hậu Giang,"Số 45 Đường Nguyễn Văn Trỗi, Phường 3, TP. Vị Thanh, Hậu Giang"
Bệnh viện Chuyên khoa 27 tháng 2 Sóc Trăng,Sóc Trăng,"Lê Hồng Phong, TP. Sóc Trăng"
Phòng khám Da liễu - BS Nguyễn Hoàng Nhật,Sóc Trăng,"134 Trương Công Định, Phường 2, TP. Sóc Trăng"
Phòng khám Da liễu - BS Hồ Quang Hồng,Sóc Trăng,"2A Pasteur, Phường 8, TP. Sóc Trăng"
Phòng khám Da liễu - BS Phượng,Sóc Trăng,"166 Lê Hồng Phong, Phường 3, TP. Sóc Trăng"
Phòng khám Chuyên khoa Da liễu - BSCKI Tiêu Văn Hùng,Sóc Trăng,"26 Đoàn Thị Điểm, Phường 3, TP. Sóc Trăng"
Bệnh viện Đa khoa Bạc Liêu        ,Bạc Liêu,"Số 6 Nguyễn Huệ, Phường 3, TP. Bạc Liêu, Bạc Liêu"
Trung tâm Y tế TP. Bạc Liêu        ,Bạc Liêu,"Đường Trần Phú, Phường 3, TP. Bạc Liêu, Bạc Liêu"
Bệnh viện Đa khoa Thanh Vũ Medic Bạc Liêu        ,Bạc Liêu,"Số 02DN, Đường tránh Quốc lộ 1A, Khóm 1, Phường 7, TP. Bạc Liêu, Bạc Liêu"
Phòng khám Đa khoa Tâm An        ,Bạc Liêu,"Số 123 Đường Lê Tấn Kế, Phường 2, TP. Bạc Liêu, Bạc Liêu"
Phòng khám Đa khoa Hòa Bình        ,Bạc Liêu,"Số 45 Đường Võ Thị Sáu, Phường 8, TP. Bạc Liêu, Bạc Liêu"
Bệnh viện Mắt - Da liễu tỉnh Cà Mau,Cà Mau,"27 Hải Thượng Lãn Ông, Phường 6, TP. Cà Mau"
Phòng khám Đa khoa Thanh Vũ Medic Cà Mau,Cà Mau,"187 Nguyễn Tất Thành, Phường 8, TP. Cà Mau"
Bệnh viện Đa khoa tỉnh Cà Mau  ,Cà Mau,"16 Hải Thượng Lãn Ông, Phường 6, TP. Cà Mau, Cà Mau"
Phòng khám Đa khoa Hòa Bình        ,Cà Mau,"Số 56 Đường Nguyễn Tất Thành, Phường 8, TP. Cà Mau, Cà Mau"
Trung tâm Y tế TP. Cà Mau        ,Cà Mau,"Đường Lý Thường Kiệt, Phường 2, TP. Cà Mau, Cà Mau"